Record_number,Biome2,Ecosystem_type2,altitude,SOC_stock,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Rh_annual,Ra_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2,Outlier_rh,Outlier_ra
1849,Boreal,Forest,650,122,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,650,Boreal,Managed,Evergreen Forest,Evergreen,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,524,320,205,66.25 23.75,3.855555556,2.705555556,49.43888889,-26.76666667,65.92,0,0
132,Boreal,Forest,342.5,122,1994,1,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,1232,342.5,Boreal,Natural,Evergreen Forest,Evergreen,1.5,405,IRGA,Extraction,Mature,564,372,192,53.75 -105.25,-0.225,-1.222222222,40.125,35.56333333,53.99,0,0
1969,Tropical,Forest,1420,122,2000.5,2,-2.75,-59.75,-62.5,3,-60,-63,2552,100,Tropical,Natural,Evergreen Forest,Evergreen,26.7,2300,IRGA,Subtraction,Mature,1211,661,550,-63,26.49166667,-0.254722222,218.8666667,108.5466667,-3,0,0
1968,Tropical,Forest,900,122,2000.5,2,-2.75,-59.75,-62.5,3,-60,-63,2552,50,Tropical,Natural,Evergreen Forest,Evergreen,26.7,2300,IRGA,Subtraction,Mature,984,434,550,-63,26.49166667,-0.254722222,218.8666667,108.5466667,-3,0,0
6048,Temperate,Shrubland,184,192,2005.5,1.5,-25.25,31.25,-25.25 31.25,25.02,31.496,-25.02 31.496,10106,370,Temperate,Natural,Shrubland,Deciduous,21.25555556,550,IRGA,Model,Mature,660,264,396,-25.25 31.25,21.25555556,0.068333333,49.32222222,-154.9133333,-25.02,0,0
2261,Temperate,Forest,386,121,2001,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Natural,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,870,476,394.11,36.25 137.25,10.4,0.154166667,142.3166667,-52.29333333,36.13,0,0
302,Temperate,Grassland,179,88,2003,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,179,Temperate,Natural,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,900,510,390,34.75 -97.75,15.075,-0.985277778,78.31666667,-18.33333333,34.98,0,0
4243,Temperate,Forest,996.5,121,2007,1.5,47.25,8.25,47.25 8.25,47.47833333,8.364388889,47.47833333 8.364388889,5317,680,Temperate,Managed,Deciduous Forest,Deciduous,8.4,930,IRGA,Exclusion,Mature,778,502,386,47.25 8.25,11.45555556,2.747777778,109.3833333,223.1233333,47.47833333,0,0
133,Temperate,Forest,153.9,121,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,153.9,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,675,290,385,45.75 -84.75,5.833333333,-0.2475,72.3,125.57,45.59,0,0
2730,Temperate,Forest,1420,121,2002.5,2,35.75,135.25,35.75 135.25,35.63,135.17,35.63 135.17,3592,650,Temperate,Natural,Deciduous Forest,Deciduous,15.39166667,1739,IRGA,Exclusion,Mature,770,400,380,35.75 135.25,15.39166667,-0.015555556,187.9458333,-45.95666667,35.63,0,0
2880,Temperate,Forest,2476,122,2003,1,42.25,128.25,42.25 128.25,42.4,128.1,42.4 128.1,3649,736,Temperate,Natural,Evergreen Forest,Evergreen,1.975,636.2,IRGA,Exclusion,Mature,1010,637,373,42.25 128.25,1.975,-0.283333333,53.01666667,-96.83,42.4,0,0
1004,Temperate,Forest,320,122,2003,1,49.75,-125.25,49.75 -125.25,49.87,-125.33,49.87 -125.33,3885,320,Temperate,Natural,Evergreen Forest,Evergreen,8.6,1450,IRGA,Exclusion,Mature,932,559,373,49.75 -125.25,5.241666667,0.129444444,119.9416667,-48.31666667,49.87,0,0
