Record_number,Biome2,altitude,SOC_content,Outlier,SOC_stock,Ecosystem_type2,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2
6580,Tropical,139,18,0,77,Forest,2010,1,27.75,114.75,27.75 114.75,27.67,114.625,27.67 114.625,8032,290,Subtropical,Managed,Evergreen Forest,Evergreen,16.8,1590,IRGA,,Aggrading,55,27.75 114.75,18.14166667,0.016944444,1939.9,275.5133333,27.67
6581,Tropical,139,18,0,77,Forest,2010,1,27.75,114.75,27.75 114.75,27.67,114.625,27.67 114.625,8032,298,Subtropical,Managed,Evergreen Forest,Evergreen,16.8,1590,IRGA,,Aggrading,90,27.75 114.75,18.14166667,0.016944444,1939.9,275.5133333,27.67
6582,Tropical,139,18,0,77,Forest,2010,1,27.75,114.75,27.75 114.75,27.67,114.625,27.67 114.625,8032,280,Subtropical,Managed,Evergreen Forest,Evergreen,16.8,1590,IRGA,,Aggrading,90,27.75 114.75,18.14166667,0.016944444,1939.9,275.5133333,27.67
6589,Tropical,287,6,0,60,Forest,2012,1,26.75,117.75,26.75 117.75,26.8,117.9666667,26.8 117.9666667,8042,287,Subtropical,Managed,Evergreen Forest,Evergreen,19.5,1653,IRGA,,Aggrading,721,26.75 117.75,18.65833333,0.040833333,1778.5,23.90666666,26.8
6621,Temperate,1107,21,0,62,Forest,2008,1,36.75,109.75,36.75 109.75,36.7,109.5166667,36.7 109.5166667,8079,1137.5,Temperate,Unmanaged,Deciduous Forest,Deciduous,10.38333333,550,IRGA,,Aggrading,481,36.75 109.75,10.38333333,-0.375833333,583.3,43.71,36.7
6622,Temperate,1107,21,0,62,Grassland,2008,1,36.75,109.75,36.75 109.75,36.7,109.5166667,36.7 109.5166667,8079,1137.5,Temperate,Unmanaged,Grassland,Deciduous,10.38333333,550,IRGA,,Aggrading,526,36.75 109.75,10.38333333,-0.375833333,583.3,43.71,36.7
6650,Tropical,41,13,0,53,Forest,2013,1,40.25,116.25,40.25 116.25,40.08333333,116.4166667,40.08333333 116.4166667,10158,41,Tropical,Unmanaged,Evergreen Forest,Evergreen,15,622.6,IRGA,,Aggrading,1462,40.25 116.25,12.33333333,-1.058333333,666.4,98.44666667,40.08333333
6652,Temperate,63,7,0,151,Forest,2013.5,1,58.25,26.75,58.25 26.75,58.33055556,26.52638889,58.33055556 26.52638889,10374,63,Temperate,Managed,Evergreen Forest,Evergreen,6.408333333,523.5,IRGA,Exclusion,Aggrading,510,58.25 26.75,6.408333333,0.509166667,523.5,-141.29,58.33055556
6654,Temperate,99,7,0,138,Forest,2013.5,1,57.75,26.75,57.75 26.75,57.70944444,26.75583333,57.70944444 26.75583333,10374,99,Temperate,Managed,Evergreen Forest,Evergreen,6.55,541.7,IRGA,Exclusion,Aggrading,390,57.75 26.75,6.55,0.395555556,541.7,-123.4966667,57.70944444
6656,Tropical,39,7,0,132,Forest,2013.5,1,2.25,101.75,2.25 101.75,2.49,101.88,2.49 101.88,7757,39,Tropical,Unmanaged,Deciduous Forest,Deciduous,27.71666667,1552.3,IRGA,,Mature,678,2.75 101.75,27.71666667,0.018333333,1552.3,-760.7633333,2.49
6706,Temperate,160,7,0,27,Desert,2008,3,31.25,34.75,31.25 34.75,31.33,34.68,31.33 34.68,7902,160,Temperate,Managed,Desert,Deciduous,21,230,IRGA,,Aggrading,136,31.25 34.75,20.99166667,0.795555556,115.1,-55.46666666,31.33
6734,Tropical,509,12,0,77,Forest,2011.5,3,29.75,106.25,29.75 106.25,29.775,106.342,29.775 106.342,10006,864.5,Subtropical,Unmanaged,Evergreen Forest,Evergreen,18.23888889,965.2666667,IRGA,Exclusion,Mature,1029,29.75 106.25,18.23888889,-0.001111111,965.2666667,-87.62333333,29.775
6735,Tropical,509,12,0,77,Forest,2011.5,3,29.75,106.25,29.75 106.25,29.775,106.342,29.775 106.342,10006,855.2,Subtropical,Unmanaged,Evergreen Forest,Evergreen,18.23888889,965.2666667,IRGA,Exclusion,Mature,1491,29.75 106.25,18.23888889,-0.001111111,965.2666667,-87.62333333,29.775
6748,Tropical,134.2,12,0,71,Forest,2011.5,1,11.75,107.25,11.75 107.25,11.583,107.366,11.583 107.366,10041,134.2,Tropical,Unmanaged,Evergreen Forest,Evergreen,26,2450,IRGA,,Mature,1226,11.75 107.25,25.04166667,-0.433333333,2473.3,112.91,11.583
6770,Tropical,34.6,105,0,264,Forest,2011.5,1,-0.25,102.25,-0.25 102.25,0.3455,102.2936,-0.3455 102.2936,10109,34.6,Subtropical,Managed,Evergreen Forest,Evergreen,27.025,1387,Gas Chromatography,,Mature,445,-0.25 102.25,27.025,0.13,1460.4,-162.48,-0.3455
6774,Tropical,NA,105,0,111,Forest,2011.5,1,4.75,110.75,4.75 110.75,4.958,110.863,4.958 110.863,10109,NA,Subtropical,Managed,Evergreen Forest,Evergreen,26.75833333,4095,Gas Chromatography,,Mature,770,2.75 111.75,26.75833333,-0.144444444,3358.4,-119.81,4.958
6782,Tropical,1380.4,12,0,83,Forest,2013.5,4,36.25,109.75,36.25 109.75,36.39,109.5255,36.39 109.5255,10464,1395,Subtropical,Unmanaged,Deciduous Forest,Deciduous,10.1,504.7,IRGA,,Mature,979,36.25 109.75,9.539583333,-0.337361111,620.725,86.465,36.39
